sentence1,sentence2,gold_label
A woman in her 30s is showing her mentally impaired daughter a photo on her cellphone.,The people were making breakfast.,contradiction
a football running back getting tackled,A quarterback is sacked.,contradiction
A man on a bicycle is pulling a cart full of sticks and branches down a road.,A man is pushing a truck full of sticks.,contradiction
A man in a black suit is walking up a street carrying an accordion file and a cellphone.,A man is riding a bike on a trail.,contradiction
"Two guys in a mirror, one has no shirt on and the other has a black shirt and it shaving.",Two guys are both wearing black shirts,contradiction
A man with a gray cap is holding a hand tool above a rusted metal surface.,The man is riding a horse.,contradiction
Two men wearing suits are standing behind a video camera on a tripod.,two dogs fighting,contradiction
Two large black dogs are playing in a grassy field.,The dogs run about the city streets.,contradiction
Several people are playing in the fountains.,There are people playing in the bushes.,contradiction
Two women are drinking from yellow cups and laughing.,A few women are crying at a bar.,contradiction
A couple poses on a tree trunk for wedding pictures.,A man is proposing to a woman in a restaurant.,contradiction
A little boy in a red outfit is on a man's shoulders.,The boy is being pulled in a red wagon.,contradiction
A boy in a tie dyed shirt is riding a skateboard down a railing.,a girl eats chips,contradiction
A distorted picture of a guy on a motorbike in a forest,The guy is riding a bike in the city.,contradiction
Three soccer players run toward the ball on a field,Soccer players are taking a break.,contradiction
A man wearing glasses and a white dress shirt looks intensely at a glass of beer as he lifts it to drink.,The man is drinking apple juice.,contradiction
A catholic mass is taking place.,The people are at a Muslin synagogue.,contradiction
People crossing the street in front of Roma Pizza.,A man rips off the arm of a stranger.,contradiction
Overjoyed child holding up a toy of some sort as her peers look onward in curiosity.,A child is sitting down while sleeping.,contradiction
A man in a green jacket wearing glasses is carrying a bunch of flowers.,There are scattered flowers all over the street.,contradiction
A gray-haired woman in a blue dress coat with snowflakes on it balances something on her head.,The woman loves her blonde hair.,contradiction
A woman dressed in white riding a white bicycle.,Two kids watch gorillas at the zoo.,contradiction
"A man resting in a blue hammock, boots and pack off, as he looks out over a flowing river.",A man is racing to save a woman from being carried off by giant eagles.,contradiction
A lively adult karate practice at the dojo.,"The adults are sitting outside a building, smoking and reading newspapers, waiting for the local bus.",contradiction
A woman wearing a tan vest is sitting in a chair is a crowded street.,A man wearing a tan vest is sitting in a chair is a crowded street.,contradiction
White Man with gray beard playing acoustic guitar against a white tiled background.,A man watches another man play guitar.,contradiction
A man sells food in a market.,A woman is selling nail polish in a bank.,contradiction
A man in a cap and white shirt is cutting some fish on a boat that is floating on water next to a wooden dock.,A man sits inside his car eating a fish sandwich.,contradiction
A man wearing sunglasses is reaching for a volleyball.,A rainy day in Memphis.,contradiction
Men and women gather for food at a concession stand.,It was a men's only gathering.,contradiction
A grandma holds her grandson's hand at a train stop.,Grandfather holding grandson's hand.,contradiction
A fisherman wearing a waterproof jumpsuit looks at something in his hand.,A businessman carries his briefcase.,contradiction
A man sits at a table outdoors and watches people.,The man is dead,contradiction
The sky appears clear.,There is heavy overcast in the sky.,contradiction
"Two small girls, one in a blue and violet dress, the other in a red striped outfit are painting with red and yellow on a piece of canvas in the street.",Two girls and two boys paint outside.,contradiction
A skateboarder makes a jump off a ramp.,A skateboarder inspects his skateboard.,contradiction
Four kids are jumping around and playing outside.,The boys are laying on the grass.,contradiction
A man is walking a pig on a rope leash down a dirt road.,A boy walks his dog.,contradiction
An old man holds the leash of a white mule dragging a red cart.,The mule is asleep.,contradiction
A man with glasses and a yankees baseball cap is wearing headphones and watching something.,Two old men play chess in the park.,contradiction
Wearing a hairnet and blue apron a woman prepares to pout something into a cistern.,monkey jumps high,contradiction
